크라니쉬 (kranichhs)	젠지 하스스톤 프로그램 !부트캠프 / 내일 나스리아 미니팩 출시	시청자 666명	Hearthstone	2022-09-27 17:40:05.587574
인섹_ (insec13)	대기열180만갓겜	시청자 622명	League of Legends	2022-09-27 17:40:05.587574
배돈 (baedony)	리치왕의분노 태어나서 처음 합니다	시청자 614명	World of Warcraft	2022-09-27 17:40:05.587574
액시스마이콜 (sn400ja)	정글이 합류해야 하는게임은 진게임이다	시청자 606명	League of Legends	2022-09-27 17:40:05.587574
31번째에서 오류				 2022-09-27 17:40:05.587574
아리스마나 (alicemana_v)	하이루	시청자 549명	Just Chatting	2022-09-27 17:40:05.587574
칸데르니아 (jmjdoc)	발키리 엘리시움	시청자 537명	Valkyrie Elysium	2022-09-27 17:40:05.587574
철면수심 (109ace)	허준이 되어 사람 살리기	시청자 502명	Bio Inc. Redemption	2022-09-27 17:40:05.587574
35번째에서 오류				 2022-09-27 17:40:05.587574
빅헤드 (bighead033)	대규모 노동 드가자	시청자 487명	Minecraft	2022-09-27 17:40:05.587574
세아스토리 (sea_vtuber)	방제 정하기 모듈이 작동하지 않습니다.	시청자 480명	Just Chatting	2022-09-27 17:40:05.587574
진격캐넌 (xorhkd321)	이세계 택티컬대비 신궁 200만들기	시청자 472명	MapleStory	2022-09-27 17:40:05.587574
설소영 (mobeom17)	다크악셀 없이 살기 4일차 (살만함)	시청자 464명	Lost Ark	2022-09-27 17:40:05.587574
김하선 (kimhasun)	어서와 낮방은 처음이지?	시청자 463명	Just Chatting	2022-09-27 17:40:05.587574
41번째에서 오류				 2022-09-27 17:40:05.587574
우사기인뎅 (ny991017)	study with me / 15:00- 19:00	시청자 456명	Just Chatting	2022-09-27 17:40:05.587574
청묘 (i_am_bloooo)	유니온 하고싶어요	시청자 433명	MapleStory	2022-09-27 17:40:05.587574
44번째에서 오류				 2022-09-27 17:40:05.587574
나기상 (mingnagi)	와 엉덩겜 (테크니컬 테스트 당첨됨)	시청자 421명	Nikke: The Goddess of Victory	2022-09-27 17:40:05.587574
ato1004fd	D	시청자 416명	아트	2022-09-27 17:40:05.587574
천양 (chunyangkr)	[V] 한국 최초 음바페 뽑은 사람	시청자 397명	FIFA 23	2022-09-27 17:40:05.587574
던ㅤ (dawnhs)	ㅡㅅㅡ;;	시청자 386명	League of Legends	2022-09-27 17:40:05.587574
김달걀 (itsmejanna)	로라뀌 접근금지 (w 도라찌)	시청자 385명	League of Legends	2022-09-27 17:40:05.587574
50번째에서 오류				 2022-09-27 17:40:05.587574
침착맨 (zilioner)	영화평론가 이동진 님 초대석 (구독후원음성X)	시청자 2만명	Just Chatting	2022-09-27 17:42:44.982040
우왁굳 (woowakgood)	축구왕 왁돌이	시청자 1만명	FIFA 23	2022-09-27 17:42:44.982040
비챤_ (viichan6)	6시) VRC 풀트뱅 ~!	시청자 7,989명	Just Chatting	2022-09-27 17:42:44.982040
랄로 (aba4647)	와끼얏호우	시청자 6,439명	World of Warcraft	2022-09-27 17:42:44.982040
